""	"Mary"	"Elizabeth"	"Margaret"	"Anna"	"Catherine"	"Sarah"	"Laura"	"Helen"	"Ruth"	"Martha"	"Alice"	"Marie"	"Rose"	"Katherine"	"Julia"	"Grace"	"Frances"	"Emma"	"Annie"	"Lillian"	"Nancy"	"Virginia"	"Kathryn"	"Evelyn"	"Eva"	"Dorothy"	"Irene"	"Ann"	"Josephine"	"Ruby"	"Clara"	"Ellen"	"Esther"	"Anne"	"Charlotte"	"Carrie"	"Rebecca"	"Theresa"	"Barbara"	"Emily"	"Maria"	"Edith"	"Jane"	"Rosa"	"Sara"	"Susan"	"Christine"	"Lucy"	"Rachel"	"Jessie"	"Caroline"
"1"	0.9995	0.998	0.997	0.999	0.9845	0.995	0.9915	0.9825	0.9535	0.992	0.996	0.9725	0.985	0.9735	0.987	0.9905	0.979	0.9985	0.9945	0.984	0.969	0.9505	0.9485	0.9335	0.9795	0.9305	0.949	0.939	0.975	0.9255	0.994	0.9695	0.948	0.94	0.9545	0.99	0.954	0.944	0.936	0.95	0.9345	0.986	0.951	0.974	0.945	0.96	0.9235	0.978	0.9455	0.982	0.9625
"2"	0.9995	0.998	0.9975	0.999	0.98	0.994	0.9905	0.9785	0.958	0.9915	0.995	0.973	0.9845	0.974	0.985	0.9925	0.9775	0.9985	0.996	0.984	0.9705	0.9495	0.951	0.9325	0.983	0.928	0.949	0.9385	0.976	0.9335	0.9945	0.9675	0.9475	0.939	0.9525	0.99	0.952	0.946	0.938	0.955	0.934	0.9865	0.9505	0.9735	0.9415	0.9605	0.9075	0.978	0.943	0.9825	0.9635
"3"	0.9995	0.998	0.997	0.999	0.979	0.994	0.9915	0.9845	0.96	0.993	0.996	0.9735	0.986	0.974	0.9825	0.992	0.9775	0.9985	0.995	0.984	0.9665	0.953	0.952	0.929	0.9795	0.925	0.948	0.9375	0.9755	0.934	0.9945	0.968	0.9515	0.9385	0.95	0.989	0.9505	0.9395	0.931	0.9525	0.9265	0.9855	0.9495	0.9715	0.9425	0.9605	0.9085	0.977	0.9455	0.9815	0.9575
"4"	0.9995	0.998	0.997	0.999	0.982	0.994	0.9905	0.9825	0.963	0.9925	0.9945	0.9735	0.9835	0.972	0.983	0.9935	0.9775	0.9985	0.9955	0.987	0.9645	0.9475	0.9535	0.9295	0.984	0.9315	0.95	0.938	0.977	0.9365	0.995	0.969	0.9505	0.942	0.954	0.9895	0.9485	0.948	0.929	0.9595	0.9305	0.9845	0.949	0.9695	0.941	0.9575	0.9185	0.976	0.9395	0.98	0.957
"5"	0.9995	0.998	0.997	0.999	0.9785	0.993	0.9895	0.9835	0.963	0.992	0.9945	0.9755	0.985	0.9725	0.9815	0.9935	0.977	0.9985	0.995	0.987	0.966	0.9475	0.956	0.933	0.981	0.9315	0.9525	0.941	0.9775	0.9455	0.996	0.9705	0.9505	0.945	0.957	0.989	0.949	0.944	0.936	0.9595	0.9355	0.9865	0.951	0.971	0.9365	0.953	0.9225	0.9765	0.9425	0.979	0.961
"6"	0.9995	0.998	0.9975	0.999	0.9775	0.991	0.9895	0.986	0.965	0.9915	0.9945	0.979	0.9875	0.975	0.984	0.993	0.977	0.9985	0.995	0.9865	0.9665	0.9485	0.9535	0.9345	0.981	0.936	0.959	0.938	0.976	0.947	0.9965	0.968	0.954	0.9375	0.953	0.989	0.9505	0.943	0.9355	0.9565	0.931	0.9845	0.9545	0.971	0.9395	0.95	0.9205	0.974	0.939	0.98	0.961
"7"	0.9995	0.998	0.997	0.999	0.9775	0.992	0.989	0.9875	0.967	0.991	0.9945	0.978	0.987	0.973	0.982	0.993	0.981	0.9985	0.9935	0.988	0.964	0.952	0.9555	0.9325	0.984	0.939	0.961	0.938	0.9765	0.947	0.9955	0.965	0.9575	0.934	0.953	0.9895	0.9525	0.944	0.9335	0.9535	0.929	0.9845	0.9475	0.9705	0.9415	0.949	0.9225	0.975	0.935	0.9795	0.954
"8"	0.9995	0.9985	0.9975	0.999	0.978	0.99	0.989	0.9895	0.969	0.9915	0.993	0.9785	0.985	0.9735	0.9805	0.9925	0.983	0.998	0.994	0.987	0.9645	0.9495	0.9565	0.9325	0.9835	0.944	0.9635	0.938	0.975	0.9475	0.996	0.967	0.9605	0.9395	0.9545	0.9885	0.945	0.946	0.934	0.951	0.9335	0.9855	0.9465	0.97	0.9355	0.9505	0.9235	0.9745	0.937	0.9795	0.958
"9"	0.9995	0.9985	0.9975	0.999	0.979	0.99	0.9875	0.992	0.9705	0.9905	0.9935	0.98	0.9865	0.972	0.981	0.9925	0.985	0.998	0.993	0.9885	0.962	0.95	0.9535	0.9305	0.983	0.9485	0.967	0.9385	0.9755	0.953	0.9945	0.966	0.9615	0.937	0.956	0.988	0.9445	0.9495	0.9325	0.955	0.931	0.9855	0.954	0.969	0.9375	0.947	0.915	0.9745	0.9355	0.9785	0.9555
"10"	0.9995	0.9985	0.998	0.999	0.979	0.99	0.9875	0.9915	0.977	0.9895	0.994	0.985	0.987	0.972	0.98	0.9925	0.983	0.9975	0.9935	0.9885	0.957	0.9495	0.953	0.941	0.9845	0.949	0.9685	0.944	0.9755	0.961	0.995	0.966	0.9625	0.9375	0.9555	0.9865	0.943	0.947	0.93	0.9535	0.9285	0.9855	0.9485	0.967	0.935	0.9465	0.92	0.973	0.933	0.9785	0.958
"11"	0.9995	0.9985	0.998	0.999	0.978	0.9895	0.9865	0.994	0.977	0.989	0.993	0.986	0.9875	0.9705	0.98	0.9935	0.9835	0.9975	0.9925	0.9905	0.958	0.95	0.9545	0.9375	0.984	0.9535	0.97	0.9395	0.9755	0.9595	0.9955	0.965	0.9625	0.9385	0.9505	0.9855	0.9465	0.9495	0.9265	0.957	0.929	0.985	0.946	0.968	0.9315	0.9425	0.9195	0.9735	0.938	0.9785	0.953
"12"	0.9995	0.998	0.9985	0.999	0.9795	0.988	0.985	0.9955	0.9905	0.9895	0.992	0.986	0.989	0.969	0.9785	0.993	0.983	0.9975	0.9935	0.99	0.9585	0.9515	0.9565	0.9455	0.9835	0.962	0.974	0.9415	0.9755	0.96	0.9945	0.9655	0.967	0.9425	0.9495	0.982	0.9385	0.9465	0.924	0.9525	0.9285	0.9855	0.949	0.9675	0.931	0.947	0.9075	0.9735	0.933	0.976	0.95
"13"	0.9995	0.9985	0.998	0.999	0.979	0.986	0.9855	0.9955	0.9975	0.988	0.993	0.9895	0.989	0.97	0.9795	0.992	0.9845	0.9965	0.9925	0.99	0.9595	0.9495	0.956	0.947	0.983	0.9605	0.9745	0.9425	0.9755	0.963	0.995	0.9655	0.9665	0.9455	0.951	0.9825	0.9375	0.9465	0.9265	0.953	0.9325	0.9835	0.9435	0.966	0.926	0.9385	0.916	0.9725	0.939	0.977	0.95
"14"	0.9995	0.9975	0.998	0.999	0.979	0.9835	0.9845	0.997	0.9985	0.9875	0.9935	0.9905	0.9885	0.969	0.98	0.992	0.983	0.9955	0.9915	0.99	0.956	0.9515	0.955	0.948	0.984	0.966	0.9745	0.945	0.975	0.9645	0.9945	0.9655	0.9805	0.9455	0.95	0.982	0.9395	0.9495	0.9225	0.9525	0.922	0.985	0.9385	0.965	0.9285	0.939	0.92	0.972	0.933	0.976	0.9505
"15"	0.9995	0.9975	0.9985	0.999	0.9795	0.983	0.984	0.998	0.997	0.988	0.9915	0.995	0.989	0.968	0.9775	0.9905	0.9855	0.9955	0.991	0.992	0.951	0.9545	0.952	0.9505	0.9825	0.971	0.9785	0.9475	0.976	0.9665	0.9945	0.964	0.982	0.945	0.95	0.9805	0.941	0.9495	0.9245	0.9535	0.9305	0.987	0.94	0.965	0.9295	0.9375	0.92	0.9715	0.932	0.9725	0.9485
"16"	0.9995	0.9975	0.998	0.999	0.981	0.9835	0.982	0.9985	0.997	0.9875	0.9915	0.9955	0.9895	0.9675	0.9775	0.991	0.9855	0.995	0.9905	0.992	0.9535	0.956	0.955	0.9565	0.983	0.9715	0.9785	0.9515	0.9765	0.967	0.994	0.9625	0.9845	0.946	0.947	0.979	0.939	0.9485	0.925	0.9555	0.9235	0.9865	0.9405	0.9645	0.9365	0.94	0.9245	0.9695	0.935	0.976	0.9475
"17"	0.9995	0.9965	0.998	0.999	0.98	0.9825	0.9815	0.9985	0.9975	0.987	0.994	0.9955	0.99	0.9695	0.978	0.9915	0.986	0.995	0.9905	0.9945	0.951	0.9555	0.956	0.958	0.984	0.977	0.9795	0.9475	0.975	0.967	0.993	0.9635	0.9865	0.943	0.9485	0.9775	0.936	0.946	0.9275	0.952	0.9245	0.9855	0.9425	0.963	0.9285	0.931	0.9195	0.9705	0.9315	0.9715	0.9445
"18"	0.9995	0.997	0.998	0.999	0.979	0.983	0.9805	0.9985	0.9975	0.987	0.992	0.9955	0.9905	0.9675	0.9775	0.993	0.9865	0.995	0.99	0.9945	0.952	0.958	0.9535	0.96	0.9825	0.9785	0.981	0.9515	0.9765	0.9715	0.9925	0.9615	0.986	0.946	0.948	0.977	0.9355	0.95	0.9235	0.956	0.924	0.985	0.9375	0.963	0.9315	0.93	0.9205	0.9695	0.923	0.974	0.944
